symptom,treatment,bodypart,diagnosis,others
voice hoarseness,vocal rest,throat,laryngitis,overuse of voice
acne scars,chemical peel,cheeks,post-acne scarring,cosmetic
dry cough,expectorant,lungs,viral bronchitis,cold weather
indigestion,antacids,stomach,dyspepsia,spicy food
swollen lips,antihistamines,lips,angioedema,allergic reaction
itching rash,calamine lotion,arms,contact dermatitis,chemical exposure
cloudy urine,antibiotics,bladder,urinary infection,dehydration
irregular heartbeat,antiarrhythmic drugs,chest,arrhythmia,heart condition
frequent headaches,analgesics,head,migraine,stress
chest tightness,bronchodilator,lungs,asthma attack,allergy
bluish nails,oxygen therapy,nails,hypoxia,heart condition
excessive thirst,insulin,whole body,diabetes,high sugar
swollen feet,compression stockings,feet,varicose veins,long standing
itchy hands,steroid cream,hands,eczema,detergent allergy
skin peeling,moisturizer,palms,dermatitis,chemical exposure
stiff joints,heat therapy,elbows,rheumatoid arthritis,autoimmune disorder
low energy,vitamin D supplements,body,deficiency,lack of sunlight
drooping eyelid,surgery,eyes,ptosis,nerve damage
swollen abdomen,diuretics,stomach,ascites,liver cirrhosis
rash with fever,antibiotics,body,measles,viral infection
watery stool,ORS,intestines,diarrhea,food poisoning
chest heaviness,aspirin,chest,myocardial infarction,smoking
swollen wrist,splint,wrist,sprain,injury
pus discharge,antibiotics,ear,ear infection,bacterial
hardened skin,steroid cream,legs,scleroderma,autoimmune
burning urination,antibiotics,urethra,UTI,bacterial infection
stiff lower back,physiotherapy,spine,lumbar spondylosis,aging
jaw pain,dental treatment,jaw,TMJ disorder,stress
dry cough with blood,bronchoscopy,lungs,tuberculosis,infection
cracked tongue,vitamin B complex,tongue,fissured tongue,dehydration
pale lips,iron therapy,lips,anemia,low hemoglobin
swollen cheeks,cold compress,cheeks,mumps,viral
drooping shoulder,physiotherapy,shoulder,nerve palsy,trauma
itchy ankles,antifungal cream,ankles,athlete’s foot,fungal
nausea,antiemetic,stomach,food poisoning,viral infection
hand weakness,nerve therapy,hands,neuropathy,diabetes
frequent burping,antacids,stomach,gastritis,spicy food
cracked nails,keratin treatment,nails,onychoschizia,deficiency
eye twitching,magnesium supplements,eyelids,fatigue,stress
facial swelling,corticosteroids,face,angioedema,allergy
muscle stiffness,muscle relaxants,back,fibromyalgia,stress
swollen eyelids in morning,cold compress,eyes,fluid retention,kidney issues
shaking hands,propranolol,hands,tremor,anxiety
burning chest,antacids,chest,GERD,reflux
swollen scalp,medicated shampoo,scalp,folliculitis,bacterial infection
itchy elbows,calamine lotion,elbows,eczema,allergic rash
cracked heels,moisturizing cream,feet,dry skin,fungal risk
toothache,dental filling,molars,cavity,dentist visit
blurry vision,corrective lenses,eyes,myopia,optometrist consult
stiff neck,hot compress,neck,cervical strain,posture correction
brittle nails,biotin supplement,nails,vitamin deficiency,nail care
cough,cough syrup,throat,bronchitis,avoid dust
dizziness,rest,head,vertigo,ENT consult
nausea,antiemetic,stomach,food poisoning,bland diet
itchy scalp,medicated shampoo,scalp,dandruff,scalp hygiene
bloating,probiotics,abdomen,indigestion,dietary change
fatigue,iron tablets,whole body,anemia,blood test
swollen gums,antiseptic mouthwash,gums,gingivitis,dental hygiene
hair fall,hair serum,scalp,alopecia,nutrition check
sneezing,antihistamine,nose,allergy,pollen exposure
rash,calamine lotion,arms,eczema,skin patch test
cracked lips,lip balm,lips,dehydration,vitamin check
joint pain,pain reliever,knees,arthritis,physiotherapy
yellow teeth,whitening paste,teeth,enamel stain,dental cleaning
sore throat,warm salt water,throat,tonsillitis,avoid cold drinks
night sweats,hormone therapy,whole body,menopause,checkups
leg cramps,magnesium supplement,legs,electrolyte imbalance,hydration
swollen eyelids,antihistamine drops,eyes,eye allergy,avoid irritants
back stiffness,stretching exercises,back,lumbar strain,ergonomic chair
chest tightness,bronchodilator,chest,asthma,inhaler prescribed
runny nose,saline spray,nose,rhinitis,humidifier
ear pain,antibiotic drops,ear,otitis media,ENT consult
hiccups,sipping water,diaphragm,irritation,relax breathing
cracked skin,petroleum jelly,hands,dermatitis,gloves recommended
indigestion,digestive enzyme,stomach,gastritis,diet change
swollen ankle,cold compress,ankle,sprain,rest
tooth sensitivity,desensitizing paste,teeth,enamel erosion,dental visit
red eyes,lubricating drops,eyes,conjunctivitis,hygiene care
swollen tonsils,antibiotics,throat,throat infection,gargling
dry cough,herbal tea,chest,seasonal flu,steam inhalation
cracked toenails,antifungal ointment,toenails,fungal infection,foot hygiene
skin peeling,aloe vera gel,palms,contact dermatitis,patch test
numb fingers,physiotherapy,fingers,nerve compression,ergonomic tools
excessive thirst,insulin therapy,whole body,diabetes,sugar monitoring
palpitations,beta-blocker,heart,arrhythmia,ECG scan
dry eyes,lubricating drops,eyes,eye strain,computer break
swollen lips,antihistamine,lips,allergic reaction,avoid triggers
swollen abdomen,diuretic,abdomen,fluid retention,ultrasound
fainting,glucose tablets,whole body,hypoglycemia,blood sugar test
excessive yawning,rest,face,sleep disorder,sleep hygiene
cracked teeth,dental crown,teeth,tooth fracture,dental X-ray
swollen wrist,wrist brace,wrist,sprain,ice therapy
stomach cramps,antispasmodic,abdomen,IBS,food log
brittle hair,protein shampoo,hair,malnutrition,diet check
swollen foot,elevation,foot,edema,compression socks
frequent urination,medication,bladder,UTI,urinalysis
pale skin,iron supplements,skin,anemia,blood work
stammering,speech therapy,mouth,speech disorder,practice sessions
excessive sweating,antiperspirant,underarms,hyperhidrosis,botox therapy
light sensitivity,sunglasses,eyes,photophobia,eye checkup
stiff elbow,physiotherapy,elbow,tendonitis,rest
swollen knee,ice pack,knee,ligament injury,MRI scan
sore muscles,massage therapy,muscles,muscle strain,relaxation
cracked voice,voice rest,throat,laryngitis,hydration
chest pain,nitroglycerin,chest,angina,ECG monitoring
hearing loss,hearing aid,ear,sensorineural loss,ENT care
ulcers,antacid,mouth,mouth ulcers,avoid spicy food
swollen finger,splint,finger,fracture,X-ray scan
watery eyes,eye drops,eyes,eye infection,hygiene check
blurred speech,neuro therapy,tongue,stroke,CT scan
hair thinning,minoxidil,scalp,androgenic alopecia,hormonal check
vomiting,oral rehydration,stomach,gastroenteritis,fluids
swollen neck,antibiotics,neck,lymphadenitis,biopsy
cold hands,warm compress,hands,poor circulation,checkup
wheezing,inhaler,chest,COPD,lung function test
cracked ankle,ankle support,ankle,ligament tear,MRI scan
swollen gums,scaling treatment,gums,periodontitis,oral hygiene
nosebleeds,nasal pack,nose,epistaxis,ENT care
swollen finger joint,painkillers,finger joint,rheumatoid arthritis,rheumatology visit
coughing blood,antibiotics,lungs,tuberculosis,chest X-ray
shortness of breath,oxygen therapy,lungs,pneumonia,spirometry
crooked teeth,braces,teeth,malocclusion,orthodontist care
swollen eyelid,antibiotic ointment,eyelid,stye,warm compress
brittle bones,calcium tablets,bones,osteoporosis,DEXA scan
high fever,antibiotics,whole body,typhoid,blood test
cracked wrist,cast,wrist,fracture,X-ray
mouth dryness,saliva substitute,mouth,dehydration,fluid intake
itchy eyes,antihistamine drops,eyes,hay fever,pollen avoidance
swollen chest,biopsy,chest,tumor,oncologist consult
loss of appetite,appetite stimulant,stomach,anorexia,nutrition therapy
swollen thumb,cold compress,thumb,sprain,rest
trembling hands,medication,hands,Parkinson’s disease,neurologist visit
cracked elbow skin,moisturizing lotion,elbow,eczema,skin care routine
low blood pressure,IV fluids,whole body,hypotension,monitoring
swollen face,antihistamine,face,allergic edema,allergist care
bleeding gums,vitamin C tablets,gums,scurvy,dental hygiene
loss of memory,cognitive therapy,brain,dementia,MRI brain scan
swollen tongue,steroid injection,tongue,glossitis,ENT consult
insomnia,melatonin,brain,sleep disorder,sleep study
cracked lips,lip balm,lips,cheilitis,dryness
yellow nails,antifungal cream,nails,onychomycosis,brittle
watery eyes,antihistamine drops,eyes,allergic conjunctivitis,itching
swollen ankles,compression stockings,ankles,edema,mild swelling
pale skin,iron supplements,skin,anemia,fatigue
persistent hiccups,muscle relaxants,diaphragm,diaphragmatic spasm,continuous
brittle hair,biotin tablets,scalp,nutritional deficiency,hair thinning
ringing in ears,ear drops,ears,tinnitus,buzzing
jaw pain,dental splint,jaw,TMJ disorder,stiffness
frequent sneezing,nasal spray,nose,allergic rhinitis,dust allergy
blurred vision,corrective glasses,eyes,refractive error,headaches
chest tightness,inhaler,chest,asthma,wheezing
peeling skin,moisturizing lotion,hands,eczema,redness
cracked heels,foot cream,heels,fissures,pain while walking
white patches,antifungal ointment,skin,tinea versicolor,itching
purple lips,oxygen therapy,lips,cyanosis,breathlessness
darkened gums,antiseptic mouthwash,gums,gingivitis,swelling
swollen fingers,anti-inflammatory gel,fingers,arthritis,morning stiffness
eye twitching,magnesium supplements,eyelid,blepharospasm,stress related
runny nose,saline drops,nose,common cold,sneezing
cold hands,thermal gloves,hands,poor circulation,numbness
facial drooping,physiotherapy,face,Bell’s palsy,difficulty smiling
hair loss patches,corticosteroid cream,scalp,alopecia areata,circular bald spots
joint swelling,methotrexate,knee,rheumatoid arthritis,stiffness
eye dryness,artificial tears,eyes,dry eye syndrome,irritation
drooping eyelids,eyelid surgery,eyelids,ptosis,vision obstruction
flaky scalp,anti-dandruff shampoo,scalp,seborrheic dermatitis,itching
persistent cough,cough syrup,throat,bronchitis,sore chest
cracked tongue,vitamin B complex,tongue,glossitis,pain while eating
swollen throat,antibiotics,throat,tonsillitis,fever
finger stiffness,paraffin wax therapy,fingers,osteoarthritis,morning pain
skin blisters,antibiotic ointment,feet,impetigo,pus-filled
yellow eyes,liver detox medication,eyes,jaundice,nausea
crooked teeth,braces,teeth,malocclusion,speech issues
drooping shoulders,physiotherapy,shoulders,muscle weakness,posture issue
cracking joints,calcium supplements,joints,osteoporosis,frequent pain
swollen eyelids,antihistamine tablets,eyelids,allergic reaction,redness
burning urination,antibiotics,bladder,UTI,frequent urination
nail ridges,multivitamins,nails,nutritional deficiency,weakness
ear fullness,ear irrigation,ears,wax buildup,mild hearing loss
itchy scalp,medicated shampoo,scalp,lice infestation,scratching
red eyes,eye drops,eyes,conjunctivitis,discharge
crooked nose,surgery,nose,deviated septum,breathing difficulty
swollen gums,dental cleaning,gums,periodontal disease,bleeding
cracked voice,voice therapy,throat,laryngitis,hoarseness
drooping mouth corner,physiotherapy,mouth,facial paralysis,difficulty speaking
weak grip,hand exercises,hand,carpal tunnel syndrome,numbness
finger nodules,anti-inflammatory tablets,fingers,gout,sharp pain
painful urination,antibiotics,urinary tract,cystitis,urgency
nosebleeds,nasal cauterization,nose,epistaxis,dizziness
swollen abdomen,diuretics,abdomen,ascites,bloating
dry cracked skin,emollient cream,elbows,psoriasis,scaling
finger deformity,physiotherapy,fingers,rheumatoid arthritis,pain
wheezing,bronchodilators,chest,asthma,shortness of breath
irregular heartbeat,beta-blockers,heart,arrhythmia,palpitations
puffy eyes,cold compress,eyes,fluid retention,morning swelling
weak bones,calcium & vitamin D,bones,osteoporosis,fractures
cracked nails,keratin supplements,nails,brittle nail syndrome,splitting
abdominal cramps,antispasmodics,abdomen,IBS,bloating
numb toes,warm socks,toes,neuropathy,tingling
facial swelling,steroids,face,angioedema,sudden onset
shoulder stiffness,stretching exercises,shoulders,frozen shoulder,pain on movement
itchy palms,soothing cream,palms,eczema,redness
painful knee cap,knee brace,knee,patellofemoral syndrome,swelling
yellow tongue,antifungal tablets,tongue,oral thrush,coating
difficulty swallowing,antibiotics,throat,strep throat,fever
stiff back,heat therapy,back,lumbar spondylosis,restricted movement
flaky eyebrows,antifungal cream,eyebrows,seborrheic dermatitis,itching
popping ears,decongestants,ears,eustachian tube dysfunction,pressure sensation
cracked fingertips,moisturizing ointment,fingers,eczema,winter flare-up
dry cracked lips,petroleum jelly,lips,chapped lips,bleeding
swollen eyelid glands,warm compress,eyelids,stye,tenderness
itchy rash,corticosteroid ointment,arms,dermatitis,redness
sharp chest pain,nitroglycerin,chest,angina,tightness
swollen wrist,wrist brace,wrist,carpal tunnel,tingling
weak legs,physiotherapy,legs,neuropathy,instability
chest burning,antacids,chest,acid reflux,sour taste
cracked heels severe,urea cream,heels,deep fissures,pain
swollen tongue,antihistamines,tongue,allergic reaction,breathing issue
night sweats,herbal tea,body,tuberculosis,cough
peeling nails,nail strengthener,nails,nail psoriasis,brittle
dry throat,lozenges,throat,pharyngitis,irritation
shaking hands,beta-blockers,hands,essential tremor,tremors
watery blisters,antiviral cream,lips,herpes simplex,painful sores
stiff fingers,paraffin therapy,fingers,arthritis,cracking joints
chest congestion,expectorant,chest,pneumonia,fever
facial rash,antibiotic cream,cheeks,bacterial infection,swelling
swollen legs,diuretics,legs,venous insufficiency,heaviness
itchy ears,ear drops,ears,eczema,scaling
jaw clicking,dental guard,jaw,TMJ dysfunction,pain chewing
cracked elbows,healing ointment,elbows,dermatitis,itchiness
swollen throat nodes,antibiotics,neck,lymphadenitis,tenderness
painful shoulder,physiotherapy,shoulder,bursitis,limited movement
dry itchy scalp,herbal oil,scalp,dandruff,flakes
burning chest,proton pump inhibitors,chest,GERD,sour burps
stiff ankle,ankle brace,ankle,sprain,swelling
High fever,Antimalarial tablets,Whole body,Malaria,Mosquito bite history
Severe chills,Intravenous fluids,Whole body,Dengue,Low platelet count
Joint pain,Pain relievers,Joints,Chikungunya,Swelling
Persistent cough,Antibiotics,Lungs,Tuberculosis,Night sweats
Abdominal cramps,ORS solution,Stomach,Cholera,Dehydration
Yellow eyes,Liver tonics,Eyes,Jaundice,Weakness
Headache,Antipyretic syrup,Head,Typhoid,Rose spots on abdomen
Vomiting,Oral hydration salts,Stomach,Food Poisoning,Contaminated food
Rabid dog bite,Rabies vaccine,Hand,Rabies,Agitation
Sneezing,Antihistamine tablet,Nose,Seasonal Allergy,Itchy eyes
Runny nose,Decongestant drops,Nose,Common Cold,Sore throat
Muscle weakness,Vitamin supplements,Muscles,Anemia,Pale skin
Severe diarrhea,IV hydration,Stomach,Gastroenteritis,Abdominal pain
Persistent sore throat,Lozenges,Throat,Strep Throat,Fever
Burning urination,Antibiotics,Urinary tract,UTI,Frequent urination
Rashes,Antihistamine cream,Skin,Chickenpox,Fluid-filled blisters
Pain behind eyes,Painkillers,Eyes,Dengue,High fever
Severe headache,Antimalarial injection,Head,Malaria,Sweating
Loss of appetite,Antibiotics,Stomach,Typhoid,Fatigue
Red eyes,Eye drops,Eyes,Conjunctivitis,Irritation
Swollen lymph nodes,Antiviral medication,Neck,Measles,Cough
Nausea,Rehydration solution,Stomach,Cholera,Rice-water stools
Severe itching,Ointment,Skin,Scabies,Rash
Night sweats,Strong antibiotics,Lungs,Tuberculosis,Persistent cough
Shivering,Paracetamol,Whole body,Influenza,Muscle ache
Fatigue,Iron supplements,Whole body,Anemia,Brittle nails
Ulcers in mouth,Antifungal gel,Mouth,Candidiasis,White patches
Painful urination,Antibiotics,Bladder,UTI,Fever
Severe body ache,Pain relievers,Whole body,Chikungunya,Rash
High fever,Intravenous fluids,Whole body,Dengue,Weakness
Rash with fever,Antiviral syrup,Skin,Measles,Dry cough
Weakness,Electrolyte powder,Whole body,Typhoid,Diarrhea
Cough with blood,Antibiotics,Lungs,Tuberculosis,Chest pain
Dog bite wound,Rabies vaccine,Leg,Rabies,Anxiety
Itchy rash,Antihistamine cream,Skin,Chickenpox,Fever
Swelling in joints,Pain relief ointment,Knees,Chikungunya,Fatigue
Stomach pain,Antibiotics,Abdomen,Typhoid,High fever
Watery stool,ORS,Abdomen,Cholera,Vomiting
Fever with jaundice,Liver support drugs,Liver,Hepatitis A,Loss of appetite
Severe cough,Antiviral syrup,Chest,Influenza,Headache
Rash,Herbal lotion,Skin,Scabies,Redness
Cough & fever,Cough syrup,Lungs,Bronchitis,Chest congestion
Persistent fever,Strong antibiotics,Whole body,Typhoid,Stomach cramps
Fever & chills,Antimalarial tablets,Whole body,Malaria,Weakness
Skin ulcers,Antifungal cream,Skin,Leprosy,Numb patches
Dark urine,Antiviral medicines,Liver,Hepatitis B,Jaundice
Fever with rash,Herbal remedies,Skin,Dengue,Joint pain
Chest tightness,Inhaler,Chest,Asthma,Breathlessness
Night sweats,Antibiotics,Lungs,Tuberculosis,Weight loss
Constant headache,Malaria injection,Head,Malaria,Shivering
Muscle pain,Painkillers,Body,Influenza,Weakness
Red rashes,Antihistamine,Skin,Chickenpox,Fever
Abdominal bloating,Antacids,Stomach,Gastritis,Heartburn
Yellow skin,Liver medication,Skin,Jaundice,Fatigue
Severe dehydration,IV fluids,Body,Cholera,Sunken eyes
Throat pain,Antibiotics,Throat,Tonsillitis,Swelling
Nose congestion,Steam inhalation,Nose,Sinusitis,Headache
Cough with phlegm,Antibiotics,Chest,Pneumonia,Fever
Loss of consciousness,Emergency injection,Brain,Cerebral Malaria,High fever
Rash with itching,Antihistamine cream,Skin,Measles,Fever
Severe fatigue,Energy boosters,Whole body,Dengue,Joint pain
Persistent fever,Herbal tea,Body,Influenza,Cold sweats
Swelling in throat,Gargles,Throat,Diphtheria,Difficulty swallowing
Black stools,Iron supplements,Stomach,Gastric Ulcer,Pain
Severe diarrhea,ORS,Abdomen,Gastroenteritis,Vomiting
Breathlessness,Oxygen therapy,Lungs,Pneumonia,Chest pain
Burning eyes,Eye drops,Eyes,Conjunctivitis,Redness
Severe itching,Anti-parasitic cream,Skin,Scabies,Red bumps
Throat swelling,Antitoxin injection,Throat,Diphtheria,Grey coating in throat
Cold & sneezing,Herbal steam,Nose,Common Cold,Sore throat
Persistent fever,Antimalarial drugs,Body,Malaria,Vomiting
Jaundice signs,Antiviral,Liver,Hepatitis E,Nausea
Severe cough,Cough syrup,Lungs,Whooping Cough,Vomiting
Leg weakness,Physiotherapy,Legs,Polio,Muscle stiffness
Pain with fever,Antibiotics,Chest,Pneumonia,Cough
High fever,IV fluids,Body,Dengue,Rash
Rash on chest,Calamine lotion,Chest,Measles,High fever
Yellow urine,Liver tonics,Abdomen,Hepatitis A,Loss of appetite
Shivering,Antipyretics,Whole body,Influenza,Body ache
Severe pain,Pain relief spray,Joints,Chikungunya,Fatigue
Vomiting & diarrhea,IV hydration,Stomach,Gastroenteritis,Weakness
Swollen face,Antibiotics,Face,Mumps,Painful salivary gland
Headache with nausea,Antimalarial injection,Head,Malaria,Chills
Fatigue,Herbal remedies,Whole body,Dengue,Low platelet count
Breathing issues,Inhaler,Chest,Asthma,Wheezing
Severe rash,Antiviral,Skin,Chickenpox,Fever
High fever,IV antibiotics,Whole body,Typhoid,Diarrhea
Red swollen eyes,Eye ointment,Eyes,Conjunctivitis,Watering eyes
Rash with blisters,Antihistamine cream,Skin,Chickenpox,Fever
Fatigue with fever,ORS,Whole body,Cholera,Vomiting
Dog scratch,Rabies injection,Arm,Rabies,Hydrophobia
Stomach cramps,Antibiotics,Abdomen,Typhoid,Fever
Cough with wheeze,Inhaler,Lungs,Bronchitis,Chest tightness
Night sweats,Antitubercular therapy,Lungs,Tuberculosis,Fatigue
Severe headache,Antipyretics,Head,Dengue,Rash
Shivering with fever,Antimalarial tablets,Whole body,Malaria,Sweating
Pain in throat,Lozenges,Throat,Tonsillitis,Fever
Body weakness,Vitamin supplements,Whole body,Anemia,Dizziness
high fever,antimalarial tablets,whole body,malaria,mosquito bite
chills and sweating,IV fluids,whole body,dengue,platelet monitoring
severe headache,paracetamol,head,chikungunya,joint pain
skin rash,antiviral medication,skin,measles,vaccination history
cough,antibiotics,lungs,tuberculosis,weight loss
muscle pain,hydration therapy,muscles,swine flu,influenza virus
sore throat,antiviral syrup,throat,H1N1 flu,nasal congestion
breathing difficulty,oxygen therapy,lungs,covid-19,positive PCR test
loss of smell,zinc supplements,nose,coronavirus infection,isolation advised
diarrhea,oral rehydration solution,stomach,cholera,contaminated water
vomiting,IV saline,stomach,food poisoning,bacterial infection
jaundice,liver support medicine,liver,hepatitis A,viral infection
fatigue,antiviral therapy,liver,hepatitis B,blood test
stomach cramps,antibiotics,intestines,typhoid,Salmonella bacteria
painful blisters,antiviral cream,skin,chickenpox,varicella virus
swollen glands,antiviral tablets,neck,mumps,contagious disease
itchy rash,antihistamine tablets,skin,scabies,parasite infection
chest pain,antibiotics,chest,pneumonia,X-ray required
bloody cough,strong antibiotics,lungs,severe pneumonia,ICU care
rabid behavior,rabies vaccine,nerves,rabies,dog bite history
paralysis,polio drops,legs,polio,childhood disease
joint swelling,painkillers,joints,chikungunya,mosquito-borne
shivering,quinine injection,whole body,severe malaria,ICU observation
runny nose,nasal spray,nose,seasonal flu,viral infection
itchy eyes,eye drops,eyes,conjunctivitis,red eye
dehydration,IV fluids,whole body,gastroenteritis,vomiting + diarrhea
rash with fever,antiviral injection,skin,rubella,childhood disease
breathlessness,nebulizer therapy,lungs,asthma attack,allergy trigger
severe diarrhea,antibiotics,intestines,dysentery,contaminated food
skin ulcers,antifungal ointment,skin,fungal infection,hygiene issue
wheezing,inhaler therapy,lungs,bronchitis,smoking history
nausea,anti-nausea medicine,stomach,stomach flu,viral cause
headache,pain reliever,head,dengue,mosquito season
bleeding gums,vitamin C supplements,mouth,scurvy,nutritional deficiency
leg pain,iron supplements,legs,anemia,low hemoglobin
eye pain,antibiotic drops,eyes,eye infection,bacterial cause
burning urination,antibiotics,urinary tract,UTI,bacterial infection
sneezing,antihistamines,nose,allergic rhinitis,pollen allergy
fever with chills,antiviral drugs,whole body,viral fever,seasonal outbreak
weight loss,antibiotics,lungs,TB (tuberculosis),chronic cough
loss of appetite,IV fluids,stomach,stomach infection,vomiting
dizziness,oral rehydration,brain,dehydration,heat exposure
swollen feet,diuretics,legs,kidney disease,urine retention
body ache,antiviral syrup,whole body,influenza,flu virus
rashes and fever,antipyretics,skin,Zika virus,mosquito-borne
black stool,endoscopy + medicine,stomach,gastric ulcer,H. pylori infection
shortness of breath,oxygen cylinder,lungs,covid pneumonia,ICU case
chest tightness,inhaler,lungs,asthma,allergy season
weakness,nutritional supplements,whole body,dengue recovery,vitamin deficiency
dog bite wound,rabies shots,arm,rabies suspected,wound care
night sweats,anti-TB medicine,lungs,tuberculosis relapse,MDR-TB check
swollen abdomen,antiviral drugs,abdomen,hepatitis C,chronic condition
itchy scalp,medicated shampoo,scalp,lice infestation,contagious
blood vomiting,emergency surgery,stomach,gastric bleeding,ulcer complications
cough with phlegm,antibiotics,lungs,bronchitis,smoker history
yellow eyes,liver tonic,liver,jaundice,hepatitis check
loss of consciousness,ventilator support,brain,covid severe,ICU admitted
painful joints,painkillers,joints,chikungunya,seasonal outbreak
cracked lips,hydration therapy,lips,dehydration,hot climate
rash with itching,antifungal cream,skin,ringworm,fungal cause
ear pain,antibiotic ear drops,ear,ear infection,bacterial cause
persistent cough,anti-TB drugs,lungs,tuberculosis,MDR risk
high temperature,antiviral drugs,whole body,covid,positive RAT test
leg swelling,dialysis support,legs,kidney failure,urea high
nasal blockage,steam inhalation,nose,sinusitis,allergy or cold
watery stools,ORS solution,stomach,cholera outbreak,flood season
muscle cramps,electrolyte drinks,muscles,dehydration,heat stroke
vomiting blood,endoscopy + treatment,stomach,stomach ulcer,gastritis
fainting,glucose injection,whole body,hypoglycemia,diabetic patient
dry cough,cough syrup,throat,seasonal flu,viral infection
painful throat,antibiotics,throat,strep throat,bacterial infection
chest congestion,nebulizer,lungs,bronchitis,asthma overlap
weak immune response,multivitamins,whole body,covid recovery,post-virus fatigue
swollen throat,pain reliever + antibiotics,throat,tonsillitis,bacterial cause
loss of taste,zinc tablets,tongue,covid,mild case
rashes with blisters,antiviral tablets,skin,monkeypox,contagious outbreak
uncontrollable fever,IV paracetamol,whole body,dengue hemorrhagic,severe case
coughing blood,antibiotics,lungs,lung TB,MDR possible
difficulty swallowing,antifungal tablets,throat,oral thrush,fungal infection
night blindness,vitamin A supplements,eyes,vitamin A deficiency,nutrition-related
high pulse rate,electrolyte monitoring,heart,dehydration,heat exhaustion
severe weakness,rest + fluids,whole body,malaria recovery,post-treatment fatigue
stomach bloating,probiotics,intestines,gut infection,poor diet
itchy skin,anti-allergy lotion,skin,eczema,dry skin
swollen red eye,antibiotic eye drops,eyes,pink eye,viral infection
watery nose,antihistamines,nose,hay fever,pollen allergy
stiff neck,antibiotics,neck,meningitis,lumbar puncture
high blood sugar,insulin injection,body,diabetes,glucose monitoring
sore muscles,pain relief ointment,muscles,chikungunya recovery,mosquito disease
sneezing fits,antihistamine spray,nose,common cold,seasonal trigger
fever with rashes,antiviral syrup,skin,hand-foot-mouth disease,child infection
chest heaviness,oxygen therapy,lungs,covid severe,ICU admitted
back pain,hot compress + tablets,back,dengue recovery,post-viral weakness
Severe headache,Paracetamol,Head,Dengue fever,Platelet drop
Joint pain,Pain reliever,Knees,Chikungunya,Mosquito-borne
Persistent cough,Antiviral drugs,Lungs,COVID-19,Positive test
Shortness of breath,Oxygen therapy,Chest,Severe COVID-19,ICU admission
Loss of smell,Home isolation,Nose,Mild COVID-19,RTPCR confirmed
Rash on skin,Hydrocortisone cream,Arms,Measles,Viral infection
Swelling of glands,Antibiotics,Neck,Mumps,Childhood disease
Sore throat,Lozenges,Throat,Influenza (Flu),Seasonal infection
Stiff neck,Lumbar puncture treatment,Neck,Meningitis,Emergency case
Burning urination,Antibiotics,Urinary tract,Urinary Tract Infection,Bacterial infection
Foamy urine,Dialysis,Kidneys,Chronic Kidney Disease,Long-term illness
Yellowing of eyes,Hepatitis medication,Liver,Hepatitis B,Viral infection
Severe stomach ache,Oral rehydration salts,Abdomen,Cholera,Contaminated water
Dehydration,IV fluids,Whole body,Diarrhea,Foodborne disease
Muscle cramps,Magnesium supplements,Legs,Typhoid fever,Salmonella bacteria
Cold chills,Antiviral injection,Whole body,Swine Flu (H1N1),Pandemic outbreak
Open wound,Rabies vaccine,Hand,Rabies,Dog bite
Fatigue,Rest & nutrition,Whole body,Seasonal Flu,Winter illness
Skin peeling,Antifungal cream,Feet,Athlete’s foot,Fungal infection
Grey patches,Skin ointment,Back,Psoriasis,Autoimmune disease
Itchy scalp,Anti-dandruff shampoo,Scalp,Dandruff,Fungal growth
Severe bleeding,Blood transfusion,Whole body,Dengue hemorrhagic fever,Emergency
Blurred vision,Insulin therapy,Eyes,Diabetic Retinopathy,Diabetes-related
Chest pain,Nitroglycerin,Chest,Heart Attack (MI),Cardiac emergency
Irregular heartbeat,Beta-blockers,Heart,Arrhythmia,ECG abnormality
Paralysis,Physiotherapy,Left side body,Stroke,Blood clot
Tremors,Levodopa,Hands,Parkinson’s disease,Nervous disorder
Memory loss,Cholinesterase inhibitors,Brain,Alzheimer’s disease,Dementia
Seizures,Antiepileptic drugs,Brain,Epilepsy,Neurological issue
Weight loss,Chemotherapy,Lungs,Lung Cancer,Malignant tumor
Lump in breast,Surgery,Breast,Breast Cancer,Biopsy confirmed
Dark stools,Endoscopy,Stomach,Stomach Ulcer,Gastro issue
Vomiting blood,Proton pump inhibitors,Stomach,Gastric Bleeding,Emergency
Jaundice,Hepatitis vaccine,Liver,Hepatitis A,Viral outbreak
Cough with blood,Anti-TB drugs,Lungs,Tuberculosis,Bacterial infection
Frequent sneezing,Antihistamines,Nose,Allergic Rhinitis,Dust allergy
Dry eyes,Artificial tears,Eyes,Conjunctivitis,Viral/Bacterial
White patches,Antifungal tablets,Tongue,Oral Thrush,Yeast infection
Persistent fever,Blood test + antibiotics,Whole body,Leptospirosis,Flood-related
Night sweats,Anti-TB therapy,Chest,Pulmonary Tuberculosis,Infectious disease
Black fungus,Amphotericin B injection,Nose/Brain,Mucormycosis,Post-COVID
Pain in joints,DMARDs,Knees,Rheumatoid Arthritis,Autoimmune
Swelling in legs,Diuretics,Legs,Kidney Failure,Chronic condition
Rapid heartbeat,Antivirals,Whole body,Zika Virus,Mosquito infection
Bone fractures,Cast immobilization,Arm,Osteoporosis,Weak bones
Difficulty walking,Physiotherapy,Legs,Polio,Childhood paralysis
Severe thirst,Insulin,Whole body,Diabetes Mellitus,High sugar
Night blindness,Vitamin A supplements,Eyes,Vitamin A Deficiency,Nutritional
